No,GENRE,SUBGENRE,URL
1,Anime,Anime Dramas,https://www.netflix.com/browse/genre/452
2,Anime,Anime Action,https://www.netflix.com/browse/genre/2653
3,Anime,Anime Sci-Fi,https://www.netflix.com/browse/genre/2729
4,Anime,Anime Features,https://www.netflix.com/browse/genre/3063
5,Anime,Anime Series,https://www.netflix.com/browse/genre/6721
6,Anime,Anime,https://www.netflix.com/browse/genre/7424
7,Anime,Anime Comedies,https://www.netflix.com/browse/genre/9302
8,Anime,Anime Horror,https://www.netflix.com/browse/genre/10695
9,Anime,Anime Fantasy,https://www.netflix.com/browse/genre/11146
10,Anime,Adult Animation,https://www.netflix.com/browse/genre/11881
11,Action & Adventure,Military Action & Adventure,https://www.netflix.com/browse/genre/2125
12,Action & Adventure,Adventures,https://www.netflix.com/browse/genre/7442
13,Action & Adventure,Westerns,https://www.netflix.com/browse/genre/7700
14,Action & Adventure,Martial Arts Movies,https://www.netflix.com/browse/genre/8985
15,Action & Adventure,Crime Action & Adventure,https://www.netflix.com/browse/genre/9584
16,Action & Adventure,Comic Book and Superhero Movies,https://www.netflix.com/browse/genre/10118
17,Action & Adventure,Spy Action & Adventure,https://www.netflix.com/browse/genre/10702
18,Action & Adventure,Foreign Action & Adventure,https://www.netflix.com/browse/genre/11828
19,Action & Adventure,Action Comedies,https://www.netflix.com/browse/genre/43040
20,Action & Adventure,Action Thrillers,https://www.netflix.com/browse/genre/43048
21,Action & Adventure,Classic Action & Adventure,https://www.netflix.com/browse/genre/46576
22,Action & Adventure,Asian Action Movies,https://www.netflix.com/browse/genre/77232
23,Children & Family Movies,Movies for ages 8 to 10,https://www.netflix.com/browse/genre/561
24,Children & Family Movies,Movies for ages 5 to 7,https://www.netflix.com/browse/genre/5455
25,Children & Family Movies,Animal Tales,https://www.netflix.com/browse/genre/5507
26,Children & Family Movies,Movies for ages 2 to 4,https://www.netflix.com/browse/genre/6218
27,Children & Family Movies,Movies for ages 0 to 2,https://www.netflix.com/browse/genre/6796
28,Children & Family Movies,Movies for ages 11 to 12,https://www.netflix.com/browse/genre/6962
29,Children & Family Movies,Movies based on children's books,https://www.netflix.com/browse/genre/10056
30,Children & Family Movies,Education for Kids,https://www.netflix.com/browse/genre/10659
31,Children & Family Movies,TV Cartoons,https://www.netflix.com/browse/genre/11177
32,Children & Family Movies,Kids' TV,https://www.netflix.com/browse/genre/27346
33,Children & Family Movies,Family Features,https://www.netflix.com/browse/genre/51056
34,Children & Family Movies,Kids Music,https://www.netflix.com/browse/genre/52843
35,Children & Family Movies,Disney,https://www.netflix.com/browse/genre/67673
36,Children & Family Movies ,Children & Family Movies,https://www.netflix.com/browse/genre/783
37,Classic Movies,Film Noir,https://www.netflix.com/browse/genre/7687
38,Classic Movies,Classic Dramas,https://www.netflix.com/browse/genre/29809
39,Classic Movies,Classic Movies,https://www.netflix.com/browse/genre/31574
40,Classic Movies,Classic Comedies,https://www.netflix.com/browse/genre/31694
41,Classic Movies,Classic Foreign Movies,https://www.netflix.com/browse/genre/32473
42,Classic Movies,Classic Thrillers,https://www.netflix.com/browse/genre/46588
43,Classic Movies,Classic Sci-Fi & Fantasy,https://www.netflix.com/browse/genre/47147
44,Classic Movies,Classic Westerns,https://www.netflix.com/browse/genre/47465
45,Classic Movies,Classic War Movies,https://www.netflix.com/browse/genre/48744
46,Classic Movies,Epics,https://www.netflix.com/browse/genre/52858
47,Classic Movies,Silent Movies,https://www.netflix.com/browse/genre/53310
48,Commedies,Mockumentaries,https://www.netflix.com/browse/genre/26
49,Commedies,Dark Comedies,https://www.netflix.com/browse/genre/869
50,Commedies,Late Night Comedies,https://www.netflix.com/browse/genre/1402
51,Commedies,Political Comedies,https://www.netflix.com/browse/genre/2700
52,Commedies,Teen Comedies,https://www.netflix.com/browse/genre/3519
53,Commedies,Foreign Comedies,https://www.netflix.com/browse/genre/4426
54,Commedies,Satires,https://www.netflix.com/browse/genre/4922
55,Commedies,Sports Comedies,https://www.netflix.com/browse/genre/5286
56,Commedies,Romantic Comedies,https://www.netflix.com/browse/genre/5475
57,Commedies,Comedies,https://www.netflix.com/browse/genre/6548
58,Commedies,Screwball Comedies,https://www.netflix.com/browse/genre/9702
59,Commedies,Slapstick Comedies,https://www.netflix.com/browse/genre/10256
60,Commedies,Stand-up Comedy,https://www.netflix.com/browse/genre/11559
61,Cult Movies,Campy Movies,https://www.netflix.com/browse/genre/1252
62,Cult Movies,Cult Sci-Fi & Fantasy,https://www.netflix.com/browse/genre/4734
63,Cult Movies,Cult Movies,https://www.netflix.com/browse/genre/7627
64,Cult Movies,B-Horror Movies,https://www.netflix.com/browse/genre/8195
65,Cult Movies,Cult Comedies,https://www.netflix.com/browse/genre/9434
66,Cult Movies,Cult Horror Movies,https://www.netflix.com/browse/genre/10944
67,Documentaries,Sports Documentaries,https://www.netflix.com/browse/genre/180
68,Documentaries,Travel & Adventure Documentaries,https://www.netflix.com/browse/genre/1159
69,Documentaries,Science & Nature Documentaries,https://www.netflix.com/browse/genre/2595
70,Documentaries,Biographical Documentaries,https://www.netflix.com/browse/genre/3652
71,Documentaries,Social & Cultural Documentaries,https://www.netflix.com/browse/genre/3675
72,Documentaries,Military Documentaries,https://www.netflix.com/browse/genre/4006
73,Documentaries,Foreign Documentaries,https://www.netflix.com/browse/genre/5161
74,Documentaries,Historical Documentaries,https://www.netflix.com/browse/genre/5349
75,Documentaries,Documentaries,https://www.netflix.com/browse/genre/6839
76,Documentaries,Political Documentaries,https://www.netflix.com/browse/genre/7018
77,Documentaries,Crime Documentaries,https://www.netflix.com/browse/genre/9875
78,Documentaries,Religious Documentaries,https://www.netflix.com/browse/genre/10005
79,Documentaries,Music & Concert Documentaries,https://www.netflix.com/browse/genre/90361
80,Dramas,Military Dramas,https://www.netflix.com/browse/genre/11
81,Dramas,Independent Dramas,https://www.netflix.com/browse/genre/384
82,Dramas,Gay & Lesbian Dramas,https://www.netflix.com/browse/genre/500
83,Dramas,Romantic Dramas,https://www.netflix.com/browse/genre/1255
84,Dramas,Foreign Dramas,https://www.netflix.com/browse/genre/2150
85,Dramas,Biographical Dramas,https://www.netflix.com/browse/genre/3179
86,Dramas,Dramas based on real life,https://www.netflix.com/browse/genre/3653
87,Dramas,Social Issue Dramas,https://www.netflix.com/browse/genre/3947
88,Dramas,Dramas based on Books,https://www.netflix.com/browse/genre/4961
89,Dramas,Showbiz Dramas,https://www.netflix.com/browse/genre/5012
90,Dramas,Dramas,https://www.netflix.com/browse/genre/5763
91,Dramas,Tearjerkers,https://www.netflix.com/browse/genre/6384
92,Dramas,Political Dramas,https://www.netflix.com/browse/genre/6616
93,Dramas,Crime Dramas,https://www.netflix.com/browse/genre/6889
94,Dramas,Sports Dramas,https://www.netflix.com/browse/genre/7243
95,Dramas,Teen Dramas,https://www.netflix.com/browse/genre/9299
96,Dramas,Period Pieces,https://www.netflix.com/browse/genre/12123
97,Dramas,Classic Dramas,https://www.netflix.com/browse/genre/29809
98,Dramas,Courtroom Dramas,https://www.netflix.com/browse/genre/528582748
99,Faith & Foreign Movies,Belgian Movies,https://www.netflix.com/browse/genre/262
100,Faith & Foreign Movies,Latin American Movies,https://www.netflix.com/browse/genre/1613
101,Faith & Foreign Movies,Foreign Dramas,https://www.netflix.com/browse/genre/2150
102,Faith & Foreign Movies,African Movies,https://www.netflix.com/browse/genre/3761
103,Faith & Foreign Movies,Chinese Movies,https://www.netflix.com/browse/genre/3960
104,Faith & Foreign Movies,Foreign Comedies,https://www.netflix.com/browse/genre/4426
105,Faith & Foreign Movies,Foreign Documentaries,https://www.netflix.com/browse/genre/5161
106,Faith & Foreign Movies,Australian Movies,https://www.netflix.com/browse/genre/5230
107,Faith & Foreign Movies,Eastern European Movies,https://www.netflix.com/browse/genre/5254
108,Faith & Foreign Movies,Korean Movies,https://www.netflix.com/browse/genre/5685
109,Faith & Foreign Movies,Middle Eastern Movies,https://www.netflix.com/browse/genre/5875
110,Faith & Foreign Movies,Foreign Sci-Fi & Fantasy,https://www.netflix.com/browse/genre/6485
111,Faith & Foreign Movies,Romantic Foreign Movies,https://www.netflix.com/browse/genre/7153
112,Faith & Foreign Movies,Faith & Foreign Movies,https://www.netflix.com/browse/genre/7462
113,Faith & Foreign Movies,Italian Movies,https://www.netflix.com/browse/genre/8221
114,Faith & Foreign Movies,Foreign Gay & Lesbian Movies,https://www.netflix.com/browse/genre/8243
115,Faith & Foreign Movies,Foreign Horror Movies,https://www.netflix.com/browse/genre/8654
116,Faith & Foreign Movies,Southeast Asian Movies,https://www.netflix.com/browse/genre/9196
117,Faith & Foreign Movies,Scandinavian Movies,https://www.netflix.com/browse/genre/9292
118,Faith & Foreign Movies,Foreign Thrillers,https://www.netflix.com/browse/genre/10306
119,Faith & Foreign Movies,Japanese Movies,https://www.netflix.com/browse/genre/10398
120,Faith & Foreign Movies,Indian Movies,https://www.netflix.com/browse/genre/10463
121,Faith & Foreign Movies,Dutch Movies,https://www.netflix.com/browse/genre/10606
122,Faith & Foreign Movies,British Movies,https://www.netflix.com/browse/genre/10757
123,Faith & Foreign Movies,Russian,https://www.netflix.com/browse/genre/11567
124,Faith & Foreign Movies,Foreign Action & Adventure,https://www.netflix.com/browse/genre/11828
125,Faith & Foreign Movies,Art House Movies,https://www.netflix.com/browse/genre/29764
126,Faith & Foreign Movies,Classic Foreign Movies,https://www.netflix.com/browse/genre/32473
127,Faith & Foreign Movies,Spanish Movies,https://www.netflix.com/browse/genre/58741
128,Faith & Foreign Movies,Irish Movies,https://www.netflix.com/browse/genre/58750
129,Faith & Foreign Movies,French Movies,https://www.netflix.com/browse/genre/58807
130,Faith & Foreign Movies,German Movies,https://www.netflix.com/browse/genre/58886
131,Faith & Foreign Movies,Greek Movies,https://www.netflix.com/browse/genre/61115
132,Faith & Foreign Movies,New Zealand Movies,https://www.netflix.com/browse/genre/63782
